Vendor Location,Participant Category,Year Month,Number of Participants Redeemed,Number Vouchers Redeemed,Total Cost Vouchers,Average Cost,Statewide Infant Formula Rebate,Total Cost Vouchers Adjusted,Average Cost Adjusted,State Average Cost Adjusted
ALAMEDA,Breastfeeding Mother,2014-04,"3,578","14,613","$226,924.84",$63.42,,,,
ALAMEDA,Breastfeeding Mother,2014-05,"3,476","14,204","$220,671.37",$63.48,,,,
ALAMEDA,Breastfeeding Mother,2014-06,"3,406","14,040","$216,089.65",$63.44,,,,
ALAMEDA,Breastfeeding Mother,2014-07,"3,511","14,403","$223,437.00",$63.64,,,,
ALAMEDA,Breastfeeding Mother,2014-08,"3,493","14,128","$219,357.99",$62.80,,,,
ALAMEDA,Breastfeeding Mother,2014-09,"3,506","14,387","$223,313.04",$63.69,,,,
ALAMEDA,Breastfeeding Mother,2014-10,"3,549","14,370","$223,517.70",$62.98,,,,
ALAMEDA,Breastfeeding Mother,2014-11,"3,502","13,964","$218,503.68",$62.39,,,,
ALAMEDA,Breastfeeding Mother,2014-12,"3,411","13,606","$213,485.74",$62.59,,,,
ALAMEDA,Breastfeeding Mother,2015-01,"3,407","13,773","$217,072.17",$63.71,,,,
ALAMEDA,Breastfeeding Mother,2015-02,"3,346","13,646","$215,036.03",$64.27,,,,
ALAMEDA,Breastfeeding Mother,2015-03,"3,330","13,445","$207,637.10",$62.35,,,,
ALAMEDA,Breastfeeding Mother,2015-04,"3,356","13,519","$205,402.00",$61.20,,,,
ALAMEDA,Breastfeeding Mother,2015-05,"3,243","13,058","$198,157.28",$61.10,,,,
ALAMEDA,Breastfeeding Mother,2015-06,"3,276","13,030","$198,163.35",$60.49,,,,
ALAMEDA,Breastfeeding Mother,2015-07,"3,232","12,710","$193,109.01",$59.75,,,,
ALAMEDA,Breastfeeding Mother,2015-08,"3,262","12,919","$196,996.70",$60.39,,,,
ALAMEDA,Breastfeeding Mother,2015-09,"3,337","13,580","$208,633.99",$62.52,,,,
ALAMEDA,Breastfeeding Mother,2015-10,"3,246","13,080","$202,674.26",$62.44,,,,
ALAMEDA,Breastfeeding Mother,2015-11,"3,103","12,556","$195,377.27",$62.96,,,,
ALAMEDA,Breastfeeding Mother,2015-12,"3,117","12,605","$194,686.12",$62.46,,,,
ALAMEDA,Breastfeeding Mother,2016-01,"3,132","12,647","$195,532.93",$62.43,,,,
ALAMEDA,Breastfeeding Mother,2016-02,"3,123","12,703","$194,648.84",$62.33,,,,
ALAMEDA,Breastfeeding Mother,2016-03,"3,097","12,431","$189,170.80",$61.08,,,,
ALAMEDA,Breastfeeding Mother,2016-04,"3,164","12,711","$196,419.41",$62.08,,,,
ALAMEDA,Breastfeeding Mother,2016-05,"3,497","13,596","$207,274.64",$59.27,,,,
ALAMEDA,Breastfeeding Mother,2016-06,"3,308","13,035","$197,876.47",$59.82,,,,
ALAMEDA,Breastfeeding Mother,2016-07,"3,120","12,558","$188,583.88",$60.44,,,,
ALAMEDA,Breastfeeding Mother,2016-08,"2,983","12,083","$181,055.66",$60.70,,,,
ALAMEDA,Breastfeeding Mother,2016-09,"3,000","12,082","$180,526.55",$60.18,,,,
ALAMEDA,Breastfeeding Mother,2016-10,"2,920","11,828","$177,504.31",$60.79,,,,
ALAMEDA,Breastfeeding Mother,2016-11,"2,866","11,600","$175,091.48",$61.09,,,,
ALAMEDA,Breastfeeding Mother,2016-12,"2,809","11,234","$169,698.46",$60.41,,,,
ALAMEDA,Child,2010-01,"20,591","77,661","$949,516.52",$46.11,,,,
ALAMEDA,Child,2010-02,"20,666","77,875","$943,986.39",$45.68,,,,
ALAMEDA,Child,2010-03,"20,917","78,552","$951,507.50",$45.49,,,,
ALAMEDA,Child,2010-04,"21,061","79,314","$964,349.85",$45.79,,,,
ALAMEDA,Child,2010-05,"20,911","78,635","$949,060.83",$45.39,,,,
ALAMEDA,Child,2010-06,"21,253","80,035","$964,381.53",$45.38,,,,
ALAMEDA,Child,2010-07,"21,146","79,305","$955,344.22",$45.18,,,,
ALAMEDA,Child,2010-08,"21,229","79,734","$972,176.13",$45.79,,,,
ALAMEDA,Child,2010-09,"21,322","80,477","$989,756.43",$46.42,,,,
ALAMEDA,Child,2010-10,"21,191","79,647","$993,450.36",$46.88,,,,
ALAMEDA,Child,2010-11,"21,276","80,125","$1,009,997.12",$47.47,,,,
ALAMEDA,Child,2010-12,"21,141","79,286","$1,009,744.85",$47.76,,,,
ALAMEDA,Child,2011-01,"21,392","80,551","$1,034,606.23",$48.36,,,,
ALAMEDA,Child,2011-02,"20,955","79,173","$1,030,748.77",$49.19,,,,
ALAMEDA,Child,2011-03,"21,296","80,154","$1,062,384.52",$49.89,,,,
ALAMEDA,Child,2011-04,"21,582","81,293","$1,079,072.17",$50.00,,,,
ALAMEDA,Child,2011-05,"21,572","80,944","$1,070,737.41",$49.64,,,,
ALAMEDA,Child,2011-06,"21,815","82,090","$1,096,203.06",$50.25,,,,
ALAMEDA,Child,2011-07,"21,704","81,574","$1,108,956.51",$51.09,,,,
ALAMEDA,Child,2011-08,"21,836","82,007","$1,148,181.25",$52.58,,,,
ALAMEDA,Child,2011-09,"21,841","82,421","$1,157,050.61",$52.98,,,,
ALAMEDA,Child,2011-10,"21,906","81,945","$1,165,227.60",$53.19,,,,
ALAMEDA,Child,2011-11,"22,090","82,490","$1,169,717.29",$52.95,,,,
ALAMEDA,Child,2011-12,"21,861","81,618","$1,153,072.01",$52.75,,,,
ALAMEDA,Child,2012-01,"22,104","82,747","$1,165,010.88",$52.71,,,,
ALAMEDA,Child,2012-02,"21,971","82,440","$1,153,637.55",$52.51,,,,
ALAMEDA,Child,2012-03,"22,190","82,707","$1,159,342.47",$52.25,,,,
ALAMEDA,Child,2012-04,"22,025","82,823","$1,160,768.65",$52.70,,,,
ALAMEDA,Child,2012-05,"22,493","83,752","$1,108,160.63",$49.27,,,,
ALAMEDA,Child,2012-06,"22,374","83,591","$1,036,562.54",$46.33,,,,
ALAMEDA,Child,2012-07,"22,239","83,007","$1,030,433.05",$46.33,,,,
ALAMEDA,Child,2012-08,"22,496","83,793","$1,043,011.30",$46.36,,,,
ALAMEDA,Child,2012-09,"21,989","82,397","$1,029,980.95",$46.84,,,,
ALAMEDA,Child,2012-10,"21,766","81,166","$1,021,474.37",$46.93,,,,
ALAMEDA,Child,2012-11,"21,537","80,187","$1,018,814.23",$47.31,,,,
ALAMEDA,Child,2012-12,"21,008","78,556","$1,005,713.26",$47.87,,,,
ALAMEDA,Child,2013-01,"21,458","80,148","$1,035,519.02",$48.26,,,,
ALAMEDA,Child,2013-02,"20,802","78,169","$1,012,711.44",$48.68,,,,
ALAMEDA,Child,2013-03,"20,683","77,670","$1,003,467.68",$48.52,,,,
ALAMEDA,Child,2013-04,"21,144","79,290","$1,017,319.73",$48.11,,,,
ALAMEDA,Child,2013-05,"21,260","79,531","$1,017,132.86",$47.84,,,,
ALAMEDA,Child,2013-06,"21,217","79,774","$1,017,011.31",$47.93,,,,
ALAMEDA,Child,2013-07,"21,587","80,644","$1,027,444.31",$47.60,,,,
ALAMEDA,Child,2013-08,"21,198","79,278","$1,005,475.88",$47.43,,,,
ALAMEDA,Child,2013-09,"21,271","79,665","$1,012,648.84",$47.61,,,,
ALAMEDA,Child,2013-10,"21,070","78,173","$996,038.58",$47.27,,,,
ALAMEDA,Child,2013-11,"20,084","74,774","$956,087.77",$47.60,,,,
ALAMEDA,Child,2013-12,"20,200","75,097","$960,747.11",$47.56,,,,
ALAMEDA,Child,2014-01,"21,208","78,527","$1,010,325.60",$47.64,,,,
ALAMEDA,Child,2014-02,"22,062","80,916","$1,049,542.95",$47.57,,,,
ALAMEDA,Child,2014-03,"21,784","79,909","$1,044,452.78",$47.95,,,,
ALAMEDA,Child,2014-04,"20,948","77,597","$1,019,118.29",$48.65,,,,
ALAMEDA,Child,2014-05,"19,994","73,953","$971,599.56",$48.59,,,,
ALAMEDA,Child,2014-06,"19,598","73,182","$971,815.05",$49.59,,,,
ALAMEDA,Child,2014-07,"19,764","73,602","$989,869.05",$50.08,,,,
ALAMEDA,Child,2014-08,"19,648","72,816","$984,987.93",$50.13,,,,
ALAMEDA,Child,2014-09,"19,659","73,438","$996,174.73",$50.67,,,,
ALAMEDA,Child,2014-10,"19,762","72,809","$989,417.27",$50.07,,,,
ALAMEDA,Child,2014-11,"19,425","71,553","$978,476.18",$50.37,,,,
ALAMEDA,Child,2014-12,"19,080","69,890","$959,342.64",$50.28,,,,
ALAMEDA,Child,2015-01,"19,221","70,794","$974,407.46",$50.69,,,,
ALAMEDA,Child,2015-02,"18,802","69,520","$958,214.25",$50.96,,,,
ALAMEDA,Child,2015-03,"18,623","68,711","$934,146.97",$50.16,,,,
ALAMEDA,Child,2015-04,"18,938","69,751","$937,054.14",$49.48,,,,
ALAMEDA,Child,2015-05,"18,453","67,706","$906,820.91",$49.14,,,,
ALAMEDA,Child,2015-06,"18,607","67,850","$908,950.48",$48.85,,,,
ALAMEDA,Child,2015-07,"18,288","66,067","$884,569.39",$48.37,,,,
ALAMEDA,Child,2015-08,"18,324","66,133","$889,365.33",$48.54,,,,
ALAMEDA,Child,2015-09,"18,424","68,087","$920,296.76",$49.95,,,,
ALAMEDA,Child,2015-10,"18,121","66,499","$897,508.69",$49.53,,,,
ALAMEDA,Child,2015-11,"17,397","64,031","$862,594.01",$49.58,,,,
ALAMEDA,Child,2015-12,"17,279","63,535","$851,442.08",$49.28,,,,
ALAMEDA,Child,2016-01,"17,504","64,639","$867,019.01",$49.53,,,,
ALAMEDA,Child,2016-02,"17,300","63,868","$852,365.29",$49.27,,,,
ALAMEDA,Child,2016-03,"17,321","63,987","$851,077.46",$49.14,,,,
ALAMEDA,Child,2016-04,"17,218","63,445","$854,236.34",$49.61,,,,
ALAMEDA,Child,2016-05,"18,777","67,801","$901,372.95",$48.00,,,,
ALAMEDA,Child,2016-06,"17,965","65,136","$864,077.69",$48.10,,,,
ALAMEDA,Child,2016-07,"16,764","61,598","$813,167.02",$48.51,,,,
ALAMEDA,Child,2016-08,"16,355","60,452","$796,560.65",$48.70,,,,
ALAMEDA,Child,2016-09,"16,210","60,151","$794,156.51",$48.99,,,,
ALAMEDA,Child,2016-10,"15,840","58,388","$773,491.28",$48.83,,,,
ALAMEDA,Child,2016-11,"15,338","56,333","$747,655.78",$48.75,,,,
ALAMEDA,Child,2016-12,"15,060","54,932","$728,651.53",$48.38,,,,
ALAMEDA,Infant,2010-01,"7,066","27,141","$839,211.79",$118.77,,,,
ALAMEDA,Infant,2010-02,"6,958","27,256","$831,931.36",$119.56,,,,
ALAMEDA,Infant,2010-03,"7,026","27,068","$833,665.20",$118.65,,,,
ALAMEDA,Infant,2010-04,"6,886","22,299","$826,544.08",$120.03,,,,
ALAMEDA,Infant,2010-05,"6,748","18,221","$822,859.05",$121.94,,,,
ALAMEDA,Infant,2010-06,"6,774","16,634","$826,137.56",$121.96,,,,
ALAMEDA,Infant,2010-07,"6,705","16,527","$811,600.17",$121.04,,,,
ALAMEDA,Infant,2010-08,"6,639","16,724","$814,824.29",$122.73,,,,
ALAMEDA,Infant,2010-09,"6,687","17,115","$822,023.29",$122.93,,,,
ALAMEDA,Infant,2010-10,"6,646","16,851","$820,773.85",$123.50,,,,
ALAMEDA,Infant,2010-11,"6,617","17,226","$838,797.50",$126.76,,,,
ALAMEDA,Infant,2010-12,"6,609","17,176","$843,970.70",$127.70,,,,
ALAMEDA,Infant,2011-01,"6,662","17,334","$851,577.07",$127.83,,,,
ALAMEDA,Infant,2011-02,"6,582","17,714","$841,797.70",$127.89,,,,
ALAMEDA,Infant,2011-03,"6,648","17,705","$852,007.38",$128.16,,,,
ALAMEDA,Infant,2011-04,"6,686","18,002","$863,474.27",$129.15,,,,
ALAMEDA,Infant,2011-05,"6,603","17,647","$851,547.50",$128.96,,,,
ALAMEDA,Infant,2011-06,"6,586","17,726","$855,790.73",$129.94,,,,
ALAMEDA,Infant,2011-07,"6,547","17,444","$859,738.97",$131.32,,,,
ALAMEDA,Infant,2011-08,"6,562","17,355","$880,878.64",$134.24,,,,
ALAMEDA,Infant,2011-09,"6,519","17,339","$878,261.34",$134.72,,,,
ALAMEDA,Infant,2011-10,"6,600","17,129","$892,850.39",$135.28,,,,
ALAMEDA,Infant,2011-11,"6,576","17,172","$886,242.83",$134.77,,,,
ALAMEDA,Infant,2011-12,"6,654","17,284","$891,677.90",$134.01,,,,
ALAMEDA,Infant,2012-01,"6,692","17,629","$895,904.55",$133.88,,,,
ALAMEDA,Infant,2012-02,"6,667","17,788","$893,352.84",$134.00,,,,
ALAMEDA,Infant,2012-03,"6,710","17,718","$907,599.09",$135.26,,,,
ALAMEDA,Infant,2012-04,"6,608","17,755","$893,464.44",$135.21,,,,
ALAMEDA,Infant,2012-05,"6,653","17,542","$856,755.82",$128.78,,,,
ALAMEDA,Infant,2012-06,"6,677","17,641","$783,875.69",$117.40,,,,
ALAMEDA,Infant,2012-07,"6,570","17,431","$778,659.08",$118.52,,,,
ALAMEDA,Infant,2012-08,"6,583","17,348","$785,550.13",$119.33,,,,
ALAMEDA,Infant,2012-09,"6,597","17,235","$792,250.26",$120.09,,,,
ALAMEDA,Infant,2012-10,"6,680","17,250","$798,634.86",$119.56,,,,
ALAMEDA,Infant,2012-11,"6,597","17,034","$789,465.15",$119.67,,,,
ALAMEDA,Infant,2012-12,"6,482","16,770","$784,870.50",$121.08,,,,
ALAMEDA,Infant,2013-01,"6,656","17,171","$810,038.33",$121.70,,,,
ALAMEDA,Infant,2013-02,"6,529","17,090","$799,440.17",$122.44,,,,
ALAMEDA,Infant,2013-03,"6,566","17,284","$795,822.68",$121.20,,,,
ALAMEDA,Infant,2013-04,"6,530","17,324","$798,520.91",$122.28,,,,
ALAMEDA,Infant,2013-05,"6,469","17,030","$790,773.77",$122.24,,,,
ALAMEDA,Infant,2013-06,"6,386","16,941","$784,239.26",$122.81,,,,
ALAMEDA,Infant,2013-07,"6,399","17,001","$789,945.52",$123.45,,,,
ALAMEDA,Infant,2013-08,"6,295","16,303","$781,552.24",$124.15,,,,
ALAMEDA,Infant,2013-09,"6,230","16,259","$773,941.73",$124.23,,,,
ALAMEDA,Infant,2013-10,"6,103","15,648","$764,002.19",$125.18,,,,
ALAMEDA,Infant,2013-11,"5,968","15,384","$750,831.30",$125.81,,,,
ALAMEDA,Infant,2013-12,"5,912","15,207","$737,449.19",$124.74,,,,
ALAMEDA,Infant,2014-01,"6,072","15,652","$761,106.78",$125.35,,,,
ALAMEDA,Infant,2014-02,"6,413","16,576","$797,923.06",$124.42,,,,
ALAMEDA,Infant,2014-03,"6,530","16,757","$814,658.96",$124.76,,,,
ALAMEDA,Infant,2014-04,"6,332","16,306","$787,110.87",$124.31,,,,
ALAMEDA,Infant,2014-05,"6,109","15,819","$756,222.69",$123.79,,,,
ALAMEDA,Infant,2014-06,"6,074","15,896","$743,839.84",$122.46,,,,
ALAMEDA,Infant,2014-07,"6,068","15,646","$743,283.96",$122.49,,,,
ALAMEDA,Infant,2014-08,"6,090","15,631","$754,872.79",$123.95,,,,
ALAMEDA,Infant,2014-09,"6,048","15,494","$747,715.43",$123.63,,,,
ALAMEDA,Infant,2014-10,"6,137","15,657","$764,235.32",$124.53,,,,
ALAMEDA,Infant,2014-11,"6,099","15,502","$765,029.96",$125.44,,,,
ALAMEDA,Infant,2014-12,"6,065","15,387","$760,349.30",$125.37,,,,
ALAMEDA,Infant,2015-01,"6,089","15,470","$766,653.74",$125.91,,,,
ALAMEDA,Infant,2015-02,"6,033","15,608","$762,020.22",$126.31,,,,
ALAMEDA,Infant,2015-03,"6,032","15,635","$755,009.08",$125.17,,,,
ALAMEDA,Infant,2015-04,"6,093","15,688","$745,336.24",$122.33,,,,
ALAMEDA,Infant,2015-05,"5,917","15,231","$725,419.43",$122.60,,,,
ALAMEDA,Infant,2015-06,"5,808","15,083","$715,733.91",$123.23,,,,
ALAMEDA,Infant,2015-07,"5,686","14,597","$702,007.21",$123.46,,,,
ALAMEDA,Infant,2015-08,"5,654","14,378","$692,518.77",$122.48,,,,
ALAMEDA,Infant,2015-09,"5,814","14,696","$714,892.24",$122.96,,,,
ALAMEDA,Infant,2015-10,"5,648","14,107","$704,970.94",$124.82,,,,
ALAMEDA,Infant,2015-11,"5,465","13,686","$677,039.80",$123.89,,,,
ALAMEDA,Infant,2015-12,"5,447","13,650","$674,195.06",$123.77,,,,
ALAMEDA,Infant,2016-01,"5,527","14,037","$682,671.43",$123.52,,,,
ALAMEDA,Infant,2016-02,"5,464","14,030","$680,839.16",$124.60,,,,
ALAMEDA,Infant,2016-03,"5,607","14,331","$698,273.50",$124.54,,,,
ALAMEDA,Infant,2016-04,"5,537","14,467","$675,835.79",$122.06,,,,
ALAMEDA,Infant,2016-05,"6,070","15,789","$726,144.42",$119.63,,,,
ALAMEDA,Infant,2016-06,"5,980","15,703","$726,469.63",$121.48,,,,
ALAMEDA,Infant,2016-07,"5,602","14,874","$678,839.59",$121.18,,,,
ALAMEDA,Infant,2016-08,"5,263","13,807","$638,880.61",$121.39,,,,
ALAMEDA,Infant,2016-09,"5,204","13,555","$637,032.04",$122.41,,,,
ALAMEDA,Infant,2016-10,"5,142","13,234","$634,322.73",$123.36,,,,
ALAMEDA,Infant,2016-11,"5,051","12,778","$622,721.29",$123.29,,,,
ALAMEDA,Infant,2016-12,"4,984","12,620","$616,586.33",$123.71,,,,
ALAMEDA,Non-Breastfeeding Mother,2010-01,"1,942","5,304","$74,934.67",$38.59,,,,
ALAMEDA,Non-Breastfeeding Mother,2010-02,"1,888","5,187","$72,677.05",$38.49,,,,
ALAMEDA,Non-Breastfeeding Mother,2010-03,"1,878","5,119","$71,774.45",$38.22,,,,
ALAMEDA,Non-Breastfeeding Mother,2010-04,"1,840","5,074","$71,385.48",$38.80,,,,
ALAMEDA,Non-Breastfeeding Mother,2010-05,"1,717","4,707","$66,078.57",$38.48,,,,
ALAMEDA,Non-Breastfeeding Mother,2010-06,"1,758","4,850","$68,182.47",$38.78,,,,
ALAMEDA,Non-Breastfeeding Mother,2010-07,"1,755","4,777","$66,891.68",$38.11,,,,
ALAMEDA,Non-Breastfeeding Mother,2010-08,"1,683","4,614","$65,366.76",$38.84,,,,
ALAMEDA,Non-Breastfeeding Mother,2010-09,"1,718","4,706","$67,251.52",$39.15,,,,
ALAMEDA,Non-Breastfeeding Mother,2010-10,"1,689","4,605","$67,307.33",$39.85,,,,
ALAMEDA,Non-Breastfeeding Mother,2010-11,"1,753","4,798","$70,595.76",$40.27,,,,
ALAMEDA,Non-Breastfeeding Mother,2010-12,"1,759","4,798","$70,525.11",$40.09,,,,
ALAMEDA,Non-Breastfeeding Mother,2011-01,"1,794","4,934","$72,728.92",$40.54,,,,
ALAMEDA,Non-Breastfeeding Mother,2011-02,"1,766","4,845","$73,201.52",$41.45,,,,
ALAMEDA,Non-Breastfeeding Mother,2011-03,"1,702","4,665","$71,184.51",$41.82,,,,
ALAMEDA,Non-Breastfeeding Mother,2011-04,"1,724","4,725","$71,725.37",$41.60,,,,
ALAMEDA,Non-Breastfeeding Mother,2011-05,"1,699","4,644","$70,313.77",$41.39,,,,
ALAMEDA,Non-Breastfeeding Mother,2011-06,"1,733","4,784","$73,646.27",$42.50,,,,
ALAMEDA,Non-Breastfeeding Mother,2011-07,"1,701","4,681","$73,086.86",$42.97,,,,
ALAMEDA,Non-Breastfeeding Mother,2011-08,"1,727","4,700","$75,146.49",$43.51,,,,
ALAMEDA,Non-Breastfeeding Mother,2011-09,"1,759","4,802","$76,979.34",$43.76,,,,
ALAMEDA,Non-Breastfeeding Mother,2011-10,"1,794","4,838","$78,138.75",$43.56,,,,
ALAMEDA,Non-Breastfeeding Mother,2011-11,"1,788","4,819","$77,766.70",$43.49,,,,
ALAMEDA,Non-Breastfeeding Mother,2011-12,"1,790","4,819","$77,896.93",$43.52,,,,
ALAMEDA,Non-Breastfeeding Mother,2012-01,"1,832","4,936","$78,742.04",$42.98,,,,
ALAMEDA,Non-Breastfeeding Mother,2012-02,"1,730","4,664","$73,978.45",$42.76,,,,
ALAMEDA,Non-Breastfeeding Mother,2012-03,"1,767","4,763","$75,587.59",$42.78,,,,
ALAMEDA,Non-Breastfeeding Mother,2012-04,"1,720","4,701","$74,931.62",$43.56,,,,
ALAMEDA,Non-Breastfeeding Mother,2012-05,"1,745","4,740","$71,738.29",$41.11,,,,
ALAMEDA,Non-Breastfeeding Mother,2012-06,"1,743","4,755","$68,523.43",$39.31,,,,
ALAMEDA,Non-Breastfeeding Mother,2012-07,"1,774","4,805","$69,495.86",$39.17,,,,
ALAMEDA,Non-Breastfeeding Mother,2012-08,"1,809","4,933","$71,508.80",$39.53,,,,
ALAMEDA,Non-Breastfeeding Mother,2012-09,"1,851","5,062","$73,439.95",$39.68,,,,
ALAMEDA,Non-Breastfeeding Mother,2012-10,"1,803","4,880","$71,444.10",$39.63,,,,
ALAMEDA,Non-Breastfeeding Mother,2012-11,"1,832","4,921","$72,783.69",$39.73,,,,
ALAMEDA,Non-Breastfeeding Mother,2012-12,"1,757","4,755","$70,967.23",$40.39,,,,
ALAMEDA,Non-Breastfeeding Mother,2013-01,"1,854","5,020","$75,316.83",$40.62,,,,
ALAMEDA,Non-Breastfeeding Mother,2013-02,"1,785","4,902","$73,690.86",$41.28,,,,
ALAMEDA,Non-Breastfeeding Mother,2013-03,"1,688","4,593","$68,652.56",$40.67,,,,
ALAMEDA,Non-Breastfeeding Mother,2013-04,"1,662","4,539","$67,367.78",$40.53,,,,
ALAMEDA,Non-Breastfeeding Mother,2013-05,"1,629","4,429","$65,358.82",$40.12,,,,
ALAMEDA,Non-Breastfeeding Mother,2013-06,"1,604","4,355","$64,317.04",$40.10,,,,
ALAMEDA,Non-Breastfeeding Mother,2013-07,"1,567","4,206","$61,976.43",$39.55,,,,
ALAMEDA,Non-Breastfeeding Mother,2013-08,"1,547","4,166","$61,018.00",$39.44,,,,
ALAMEDA,Non-Breastfeeding Mother,2013-09,"1,591","4,333","$63,684.68",$40.03,,,,
ALAMEDA,Non-Breastfeeding Mother,2013-10,"1,565","4,200","$61,886.47",$39.54,,,,
ALAMEDA,Non-Breastfeeding Mother,2013-11,"1,622","4,359","$64,655.00",$39.86,,,,
ALAMEDA,Non-Breastfeeding Mother,2013-12,"1,553","4,204","$62,561.12",$40.28,,,,
ALAMEDA,Non-Breastfeeding Mother,2014-01,"1,615","4,358","$65,612.22",$40.63,,,,
ALAMEDA,Non-Breastfeeding Mother,2014-02,"1,675","4,509","$68,455.11",$40.87,,,,
